time,temperature_2m,relative_humidity_2m,wind_speed_10m
2025-01-22T09:00,12.2,78.0,4.8
2025-01-22T10:00,14.4,71.0,3.0
2025-01-22T11:00,16.7,62.0,3.5
2025-01-22T12:00,18.7,56.0,4.0
2025-01-22T13:00,20.1,50.0,4.7
2025-01-22T14:00,20.9,46.0,4.5
2025-01-22T15:00,21.0,44.0,4.8
2025-01-22T16:00,20.4,51.0,3.4
2025-01-22T17:00,18.3,60.0,4.6
2025-01-22T18:00,17.0,62.0,6.2
2025-01-22T19:00,16.0,67.0,6.4
2025-01-22T20:00,15.0,72.0,6.4
2025-01-22T21:00,14.4,72.0,6.4
2025-01-22T22:00,13.7,71.0,6.5
2025-01-22T23:00,13.4,65.0,8.4
2025-01-23T00:00,12.9,62.0,9.6
2025-01-23T01:00,12.3,65.0,8.9
2025-01-23T02:00,11.8,68.0,9.0
2025-01-23T03:00,11.2,72.0,6.7
2025-01-23T04:00,10.5,73.0,4.2
2025-01-23T05:00,10.4,73.0,6.3
2025-01-23T09:00,12.6,78.0,4.8
2025-01-23T10:00,15.0,69.0,3.8
2025-01-23T11:00,17.3,59.0,4.8
2025-01-23T12:00,18.9,52.0,5.5
2025-01-23T13:00,20.1,48.0,6.0
2025-01-23T14:00,20.8,43.0,7.5
2025-01-23T15:00,20.7,41.0,8.6
2025-01-23T16:00,19.8,47.0,7.4
2025-01-23T17:00,17.9,58.0,6.7
2025-01-23T18:00,16.5,63.0,6.3
2025-01-23T19:00,15.7,66.0,6.4
2025-01-23T20:00,14.8,68.0,6.3
2025-01-23T21:00,13.8,66.0,6.7
2025-01-23T22:00,13.4,56.0,8.2
2025-01-23T23:00,12.3,56.0,7.7
2025-01-24T00:00,11.3,58.0,7.1
2025-01-24T01:00,11.0,56.0,7.3
2025-01-24T02:00,10.5,54.0,7.3
2025-01-24T03:00,10.1,52.0,7.6
2025-01-24T04:00,9.7,51.0,7.8
2025-01-24T05:00,9.3,49.0,7.7
2025-01-24T06:00,9.7,58.0,7.8
2025-01-24T07:00,9.6,56.0,8.4
2025-01-24T08:00,10.6,50.0,9.2
2025-01-24T09:00,12.7,45.0,10.8
2025-01-24T10:00,15.1,38.0,7.8
2025-01-24T11:00,17.2,32.0,8.0
2025-01-24T12:00,18.7,30.0,8.2
2025-01-24T13:00,19.7,32.0,7.8
2025-01-24T14:00,20.2,34.0,7.4
2025-01-24T15:00,20.2,35.0,7.9
2025-01-24T16:00,19.5,41.0,7.6
2025-01-24T17:00,17.4,52.0,6.7
2025-01-24T18:00,16.5,55.0,6.9
2025-01-24T19:00,15.3,58.0,6.7
2025-01-24T20:00,14.2,58.0,7.1
2025-01-24T21:00,13.3,57.0,7.3
2025-01-24T22:00,13.1,52.0,7.9
2025-01-24T23:00,12.3,50.0,7.9
2025-01-25T00:00,11.0,53.0,7.0
2025-01-25T01:00,10.2,55.0,6.8
2025-01-25T02:00,10.0,54.0,7.6
2025-01-25T03:00,9.4,54.0,7.3
2025-01-25T04:00,8.3,58.0,6.2
2025-01-25T05:00,7.5,60.0,5.2
2025-01-25T06:00,7.4,71.0,5.8
2025-01-25T07:00,6.9,70.0,5.5
2025-01-25T08:00,8.3,65.0,4.9
2025-01-25T09:00,10.8,57.0,4.4
2025-01-25T13:00,19.7,29.0,3.6
2025-01-25T14:00,20.5,26.0,4.7
2025-01-25T15:00,20.6,26.0,5.6
2025-01-25T16:00,19.9,33.0,4.6
2025-01-25T17:00,17.4,48.0,4.7
2025-01-25T18:00,16.5,52.0,5.6
2025-01-25T19:00,15.8,52.0,4.9
2025-01-25T20:00,15.0,55.0,4.0
2025-01-26T04:00,7.6,80.0,6.4
2025-01-26T05:00,7.2,77.0,6.6
2025-01-26T06:00,7.4,77.0,6.7
2025-01-26T07:00,6.5,78.0,6.2
2025-01-26T08:00,7.9,73.0,4.9
2025-01-26T09:00,10.3,66.0,4.1
2025-01-26T14:00,20.8,29.0,3.3
2025-01-26T15:00,21.1,29.0,4.4
2025-01-26T16:00,20.4,35.0,4.4
2025-01-26T17:00,17.6,49.0,5.4
2025-01-26T18:00,16.2,54.0,6.5
2025-01-26T19:00,15.4,58.0,5.4
2025-01-26T20:00,14.8,61.0,4.7
2025-01-26T21:00,13.9,64.0,3.7
2025-01-27T02:00,9.4,78.0,3.1
2025-01-27T03:00,8.6,80.0,3.8
2025-01-27T09:00,11.1,74.0,3.4
2025-01-27T12:00,19.4,42.0,4.0
2025-01-27T13:00,20.9,35.0,5.6
2025-01-27T14:00,21.6,31.0,6.6
2025-01-27T15:00,21.6,30.0,7.2
2025-01-27T16:00,20.8,35.0,5.5
2025-01-27T17:00,18.1,52.0,5.2
2025-01-27T18:00,16.8,57.0,6.2
2025-01-27T19:00,15.7,63.0,5.4
2025-01-27T20:00,14.7,68.0,4.4
2025-01-27T21:00,13.9,71.0,3.2
2025-01-27T23:00,11.9,78.0,3.2
2025-01-28T02:00,9.9,80.0,6.4
2025-01-28T03:00,9.5,79.0,6.0
2025-01-28T04:00,9.0,79.0,5.8
2025-01-28T15:00,21.6,40.0,3.6
2025-01-28T16:00,21.0,43.0,4.2
2025-01-28T17:00,18.5,61.0,4.7
2025-01-28T18:00,17.0,64.0,4.1
2025-01-28T20:00,14.9,66.0,3.8
2025-01-28T21:00,13.6,69.0,4.9
2025-01-28T22:00,12.5,74.0,3.8
2025-01-29T09:00,12.4,76.0,11.1
2025-01-29T10:00,15.1,68.0,9.3
2025-01-29T11:00,17.7,61.0,8.7
2025-01-29T12:00,19.5,55.0,7.0
2025-01-29T13:00,20.9,50.0,6.1
2025-01-29T14:00,21.6,47.0,7.1
