DateTime,Temperature,Humidity,Wind Speed
2025-02-08T00:00,13.2,61.0,4.2
2025-02-08T01:00,12.6,63.0,4.7
2025-02-08T02:00,12.3,63.0,3.9
2025-02-08T03:00,11.7,64.0,4.3
2025-02-08T04:00,11.4,64.0,4.1
2025-02-08T05:00,11.3,66.0,4.0
2025-02-08T06:00,10.9,66.0,4.0
2025-02-08T07:00,11.0,66.0,4.1
2025-02-08T08:00,11.7,65.0,3.8
2025-02-08T09:00,13.7,61.0,3.1
2025-02-08T10:00,15.7,51.0,3.8
2025-02-08T18:00,19.8,39.0,3.4
2025-02-08T19:00,18.2,45.0,3.2
2025-02-09T00:00,13.5,55.0,3.6
2025-02-09T19:00,18.7,49.0,4.3
2025-02-09T20:00,17.9,53.0,3.3
2025-02-09T21:00,17.8,54.0,3.0
2025-02-10T02:00,15.4,59.0,3.9
2025-02-10T03:00,14.8,61.0,3.4
2025-02-10T04:00,14.0,65.0,3.3
2025-02-10T19:00,20.0,46.0,4.0
2025-02-10T20:00,19.1,47.0,4.0
2025-02-10T21:00,18.4,51.0,3.6
2025-02-10T22:00,17.7,53.0,3.7
2025-02-10T23:00,16.8,58.0,4.0
2025-02-11T00:00,15.9,62.0,4.1
2025-02-11T01:00,15.7,61.0,4.0
2025-02-11T02:00,15.6,60.0,3.2
2025-02-11T03:00,15.2,60.0,4.0
2025-02-11T04:00,14.8,61.0,5.1
2025-02-11T05:00,15.0,60.0,4.3
2025-02-11T06:00,14.1,64.0,4.3
2025-02-11T07:00,13.2,69.0,5.1
2025-02-11T08:00,13.8,69.0,4.8
2025-02-11T09:00,16.4,62.0,4.9
2025-02-11T10:00,19.3,54.0,6.3
2025-02-11T19:00,18.7,57.0,4.2
2025-02-11T20:00,17.2,63.0,4.0
2025-02-11T21:00,16.4,66.0,3.5
2025-02-12T00:00,14.8,72.0,3.1
2025-02-12T01:00,13.9,76.0,4.1
2025-02-12T02:00,13.1,80.0,4.6
2025-02-12T09:00,14.1,70.0,3.2
2025-02-12T10:00,18.0,56.0,3.1
2025-02-12T19:00,18.6,44.0,5.0
2025-02-12T20:00,17.0,50.0,4.1
2025-02-12T21:00,16.2,52.0,3.1
2025-02-13T01:00,13.7,59.0,3.1
2025-02-13T02:00,12.9,62.0,4.0
2025-02-13T03:00,12.1,65.0,3.5
2025-02-13T07:00,10.1,73.0,3.3
2025-02-13T08:00,10.9,71.0,4.0
2025-02-13T09:00,13.7,63.0,3.3
2025-02-13T18:00,18.9,44.0,4.6
2025-02-13T19:00,17.2,53.0,4.7
2025-02-13T20:00,15.7,61.0,4.7
2025-02-13T21:00,14.8,66.0,4.3
2025-02-13T22:00,14.2,69.0,4.0
2025-02-13T23:00,13.5,72.0,3.7
2025-02-14T00:00,12.8,75.0,3.8
2025-02-14T01:00,12.0,77.0,4.4
2025-02-14T02:00,11.3,78.0,4.8
2025-02-14T03:00,10.8,77.0,4.8
2025-02-14T04:00,10.3,76.0,4.5
2025-02-14T05:00,10.0,73.0,4.2
2025-02-14T06:00,9.6,69.0,3.9
2025-02-14T07:00,9.4,65.0,3.7
2025-02-14T08:00,10.2,59.0,3.7
2025-02-14T09:00,12.6,50.0,4.0
2025-02-14T10:00,16.1,40.0,4.5
2025-02-14T11:00,19.0,32.0,5.0
2025-02-14T18:00,19.6,29.0,5.1
2025-02-14T19:00,17.5,36.0,5.0
2025-02-14T20:00,15.9,42.0,4.3
2025-02-14T21:00,15.1,43.0,3.0
