DateTime,Temperature,Humidity,Wind Speed
2025-02-08T00:00,13.2,61,4.2
2025-02-08T01:00,12.6,63,4.7
2025-02-08T02:00,12.3,63,3.9
2025-02-08T03:00,11.7,64,4.3
2025-02-08T04:00,11.4,64,4.1
2025-02-08T05:00,11.3,66,4.0
2025-02-08T06:00,10.9,66,4.0
2025-02-08T07:00,11.0,66,4.1
2025-02-08T08:00,11.7,65,3.8
2025-02-08T09:00,13.7,61,3.1
2025-02-08T10:00,15.7,51,3.8
2025-02-08T11:00,19.6,35,2.1
2025-02-08T12:00,21.5,28,2.8
2025-02-08T13:00,22.7,24,4.2
2025-02-08T14:00,23.2,24,4.9
2025-02-08T15:00,23.3,25,5.4
2025-02-08T16:00,22.9,27,4.6
2025-02-08T17:00,21.7,33,3.2
2025-02-08T18:00,19.8,39,3.4
2025-02-08T19:00,18.2,45,3.2
2025-02-08T20:00,17.3,46,2.2
2025-02-08T21:00,16.4,47,1.5
2025-02-08T22:00,15.5,49,1.5
2025-02-08T23:00,14.6,51,2.3
2025-02-09T00:00,13.5,55,3.6
2025-02-09T01:00,12.7,58,2.6
2025-02-09T02:00,11.8,62,1.5
2025-02-09T03:00,11.1,64,0.7
2025-02-09T04:00,10.8,64,1.0
2025-02-09T05:00,11.0,62,1.1
2025-02-09T06:00,11.0,61,0.7
2025-02-09T07:00,10.9,61,1.1
2025-02-09T08:00,11.8,59,0.8
2025-02-09T09:00,14.7,55,0.5
2025-02-09T10:00,18.2,45,2.3
2025-02-09T11:00,20.9,37,3.6
2025-02-09T12:00,22.8,32,3.6
2025-02-09T13:00,24.1,27,4.8
2025-02-09T14:00,24.5,26,4.8
2025-02-09T15:00,24.5,27,4.2
2025-02-09T16:00,24.2,27,4.2
2025-02-09T17:00,23.0,34,3.3
2025-02-09T18:00,20.6,42,4.0
2025-02-09T19:00,18.7,49,4.3
2025-02-09T20:00,17.9,53,3.3
2025-02-09T21:00,17.8,54,3.0
2025-02-09T22:00,17.7,52,2.6
2025-02-09T23:00,17.2,53,2.1
2025-02-10T00:00,16.6,54,1.3
2025-02-10T01:00,15.9,56,0.7
2025-02-10T02:00,15.4,59,3.9
2025-02-10T03:00,14.8,61,3.4
2025-02-10T04:00,14.0,65,3.3
2025-02-10T05:00,13.8,66,2.3
2025-02-10T06:00,13.5,66,0.7
2025-02-10T07:00,13.0,68,1.5
2025-02-10T08:00,13.5,67,1.8
2025-02-10T09:00,16.5,61,0.4
2025-02-10T10:00,19.7,49,0.8
2025-02-10T11:00,22.3,40,1.5
2025-02-10T12:00,24.3,33,2.3
2025-02-10T13:00,25.5,28,3.7
2025-02-10T14:00,26.1,26,4.5
2025-02-10T15:00,26.1,25,5.3
2025-02-10T16:00,25.5,26,5.0
2025-02-10T17:00,24.2,31,4.1
2025-02-10T18:00,21.5,41,4.2
2025-02-10T19:00,20.0,46,4.0
2025-02-10T20:00,19.1,47,4.0
2025-02-10T21:00,18.4,51,3.6
2025-02-10T22:00,17.7,53,3.7
2025-02-10T23:00,16.8,58,4.0
2025-02-11T00:00,15.9,62,4.1
2025-02-11T01:00,15.7,61,4.0
2025-02-11T02:00,15.6,60,3.2
2025-02-11T03:00,15.2,60,4.0
2025-02-11T04:00,14.8,61,5.1
2025-02-11T05:00,15.0,60,4.3
2025-02-11T06:00,14.1,64,4.3
2025-02-11T07:00,13.2,69,5.1
2025-02-11T08:00,13.8,69,4.8
2025-02-11T09:00,16.4,62,4.9
2025-02-11T10:00,19.3,54,6.3
2025-02-11T11:00,21.7,48,6.2
2025-02-11T12:00,22.9,44,5.6
2025-02-11T13:00,23.7,40,4.1
2025-02-11T14:00,24.1,38,2.3
2025-02-11T15:00,23.5,39,3.0
2025-02-11T16:00,22.9,40,4.3
2025-02-11T17:00,22.1,42,4.5
2025-02-11T18:00,20.6,48,4.5
2025-02-11T19:00,18.7,57,4.2
2025-02-11T20:00,17.2,63,4.0
2025-02-11T21:00,16.4,66,3.5
2025-02-11T22:00,16.0,66,2.7
2025-02-11T23:00,15.6,68,2.4
